일주,항목,내용,남자,여자,조건,결과,조건식
己酉,03,두뇌는 총명하나 인내 노력이 부족하게 되어. 일찍 학문발휘 하다가도 긴 공부. 큰 시험에는 실력 발휘가 저조할 수 있습니다. 지지 문창은 두뇌총명을 의미하여 일찍부터 대단한 능력을 발휘하지만. 세월이 가면서 성적이 저조하기 쉬우니. 인내 노력을 기울여야 성공이 있음을 의미합니다,성공의 전공길 남자는 의.약학. 어학. 공학. 스포츠. 상과 등이 됩니다. ,성공의 전공길 여자는 교육. 육영. 의.약학. 어학. 예능. 스포츠 등이 됩니다. ,팔자에 화가 왕성하면. ,인내 노력도 있으므로 좋은 학교 인연이 됩니다. ,if (nr_oh2>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己酉,04,지지 식신은 남자의 경우 여자에 대한 관심. 융통성이 되고 여자의 경우는. 자신의 표현력이 되므로 일찍부터 이성에 대한 관심을 갖게 됩니다. 고로 일찍 연애가 발생하는데 남녀 공히 미남. 미녀형이라 배우자의 결정에 애로를 겪을 것을 의미합니다. ,좋은 배필 인연으로 남자는 쥐띠. 소띠. 용띠. 말띠. 닭띠. 돼지띠 여자가 됩니다.  </br>남자는 결혼이후 배우자 인연 무난합니다. ,여자의 경우는 자기가 원하는 데로 배우자를 결정하므로 부모와의 갈등이 올수도 있습니다.  </br>좋은 배필 인연으로 여자는 쥐띠. 소띠. 범띠. 용띠. 뱀띠. 말띠. 닭띠. 돼지띠 남자가 됩니다.  </br>여자는 자식이 오기 전 까지는 무난하다가 자식이 나고 나면 갈등이 오는 수가 있습니다 ,,,
己酉,05,지지 식신은 왕성한 재물 생산력으로. 조직 직장길보다 사업 인연이 많습니다.  조직 직장길의 경우는 교육. 전문자격 분야. 의.약학. 식품. 전문직. 공직. 등이 되고 사업길의 경우는 전문자격 사업 (의사. 변호사. 세무사). 식품통상. 식품제조. 금속 기계. 제조생산 등이 됩니다. 만인이 인정한 재능으로 재물을 벌어들이므로 속도가 비록 더디더라도. 세월이 흐르면서 큰 재물을 이룩하는 운입니다,,,,,
己酉,06,평생 식록이 따르는 격이라 마음이 태평하고 재물 근심이 적은 편입니다.  또한 여자는 좋은 자식을 의미하므로 자식이 현량 할 것을 의미합니다. ,남자의 경우 장모와 유정하니 장모 동거가 올 수 있습니다. ,여자의 경우 자식이 장성하면서 배우자의 기운을 약화시키니 배우자의 건강. 재물 고통. 인연 고통을 만날수도 있습니다,,,
己酉,07,가을걷이철의 들판 으로 먹을 것이 많을 때입니다. 이곳을 뛰어 다니는 닭은 분주하고 식록이 두터운 것입니다.  철근으로 지은 튼튼한 건물의 물상으로 이 사람은 기억력이 뛰어나고. 비상한 두뇌를 지녀 학업이 우수한 사람이 많습니다. 기토의 모성을 지녀 성품은 후덕한 가운데 내면에는 냉철한 면이 있습니다. ,남자는 보통 미색과 인연을 맺으며 색탐하는 기운이 있습니다. ,여성은 내조를 잘 하는 유형이나 부덕이 두텁지 않아 한동안 침울해질 때가 있고 자식에게만 애정을 쏟는 경우가 많습니다. ,,,
己酉,08,46 己酉 (庚10 辛20)</br>生 천주귀인(天廚貴人) 학당귀인(學堂貴人) 문창귀인(文昌貴人)</br></br>물상(物象)은 철근으로 지은 튼튼한 건물으로 천주(天廚)는 맡은 일은 정확하게 깨끗하게 처리함을 의미한다. 또한 들판에 먹을 것이 많아 뛰어 다니는 닭의 상이니 분주하고. 식록(食祿)이 두터운 편이다. 식상(食傷)의 구조는 줄기차게 연구하고. 자신의 연구 결과를 활발하게 공개함을 암시한다. 일지(日支) 장성(將星)은 아집(我執)이 강하다. 전답(田畓)보다는 금광(金鑛)으로 승부를 내야 하니. 정규적인 코스보다는 다양한 경로를 통해 출세(出世)하는 편이 유리하다고 볼 수 있다.</br>성격은 온순하면서도 타인을 제압하는 힘이 있다. 인간성은 후천적인 환경적 요인에 의해 선악(善惡) 어느 한 편으로 기울기 쉽다. 대개 지혜가 있고. 인정이 많으므로 상사의 신임을 받으며. 주위의 인정을 받는 편이다. 머리 회전이 천재적이고. 외적으로 인정을 많이 베풀며 겉으로는 유(柔)하지만. 철쇄개금(鐵鎖開金)으로 내면의 냉철함과 일도양단(一刀兩斷)하는 기질을 함유한다. 다만 검경계나 의약계 등의 종사자가 아닌한. 생에 한번 정도는 관제구설수 등의 심각한 흉운기를 거칠 수 있다.,처(妻)는 미모에 지혜가 총명한 사람과 인연이 되나. 일지(日支) 도화(桃花)는 한번 정도의 여난(女亂)을 암시하기도 한다. 본인이 출세(出世)하면 자식은 평범하다. ,여성은 대개 재주가 뛰어나고. 내조(內助)를 잘 하는 유형이나 다소 그 남편을 무시하는 경향을 보이기도 한다. 배우자는 나이 차가 많을수록 양호하고. 인연이 닿지 않으면 과부(寡婦)가 되기도 한다. 대체로 남편의 덕이 박한 편이며 자식을 바라보고 사는 경우가 많다. 일생의 한번 이상의 수술수는 피하기 어렵다 ,,,
己酉,09,1. 학당(學堂). 酉金은 기억력이 우수하고. 비상한 두뇌로 문장의 암기력은 알아줄만하다.</br>2. 겉으로는 안정적이나. 철쇄개금(鐵鎖開金)으로 내면의 갈등이나 번민. 구설 등을 겪는다.,,3. 재주 있고 살림을 잘 하지만. 남편을 무시하는 경향이 있어 공방수(空房數)가 있다 ,,,
己酉,10,,男命은 스태미나가 강한 편으로 성감(性感)이 좋은 편이다. 다만 서두르는 경향이 있으므로 강약을 조절할 필요가 있다.,女命은 담백한 스타일이지만 간혹 성욕(性慾)에 불만을 갖는 경우가 있고. 몹시 격정적일 때가 있는 등 변덕스러운 스타일이다. ,,,
己酉,11,己酉일주는 소장. 간. 폐 계통의 질환을 조심해야 하며. 치아가 약하고. 골절이 자주 일어날 우려가 있다. </br>己: 비장(脾臟). 배</br>酉: 소장(小腸). 정랑. 난소(卵巢). 코. 인후(목구멍). 폐(肺) ,,여성의 경우. 산액(産厄)을 겪을 수 있으며 제왕절개수술을 하기 쉽다. 때때로 놀라는 일이 있다.,,,
己酉,12,대개 월급 생활이 무난하고. 법조. 교육. 문학. 출판. 예술. 의약계에 많이 분포되어 있다. 문창(文昌)으로 교수직에 적합하고. 칼을 쓰는 직업과도 인연이 많다,,,,,
己酉,13,◈ 일주론 해석 - 기유 (己酉) 일주 </br></br>기유일생은 식상생궁입니다. 식상은 또한 록왕지에 좌하지요.  한마디로 식상의 기세가 왕합니다. 천주귀인으로 평생 식록이 있고 의식의 풍족함을 예고하는 구성입니다. </br>한편 관성이 포태로 인종하여 남자는 벼슬과 인연이 약하고.</br>여자는 남편 인연이 약해 고통이 따를 형편을 예고합니다. 여성은 자식에 대한 집착이 강해 배필과 갈등을 겪는 경우가 많습니다.</br>이 사람은 베풀기를 좋아합니다. 줄기차게 연구하고. 자신의 연구 결과를 활발하게 공개함을 뜻하기도 하지요. 성격은 온순하면서도 타인을 제압하는 힘이 있습니다. 정화 인수 또한 장생을 얻어 학업이 우수하고 두뇌가 비상한 부류들이 많습니다. 특히 학당 유금은 기억력과 암기력이 뛰어나다고 봅니다. 지혜가 있고 상사의 신임을 받으며 주위의 인정을 받는 편입니다. 흔히 기토는 모성에 비유되고 유인의 천인성은 내면의 냉철함과 일도양단하는 기세를 품습니다. 그래서 부드러운 카리스마 같은 게 있습니다. 또 수술 등으로 몸에 상처를 남기기도 하지요.,남명의 처는 미모에 지혜가 총명한 사람과 인연이 맺기 쉽습니다. 정재 임수는 유금에 도화로 인종되니까요. 도화와 장생이 조화됐을 때 이러합니다. 편재 계수는 역마로 인종됩니다. 역마 편재는 곧 외유를 뜻합니다. 보통 이 두 가지 양상이 다 나타나기 쉽지요.</br>관이 무력해서 일단 자식은 평범하다고 봐야겠습니다.,여성은 재주가 있고 살림도 잘 하지만 상관의 기세가 왕하여 남편을 무시하는 경향이 있습니다. 까닭에 공방수가 따르지요. 배우자는 나이 차가 많을수록 양호하고 인연이 닿지 않으면 과부가 되기도 합니다. 자식을 바라보고 사는 경우가 많습니다. ,팔자에 자수가 있으면. ,비록 절지에 놓여도 재신이 록왕에 좌해 부자가 될 가능성이 높아집니다.,if (sj_ganji.includes('子')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚戌,01,만물을 결실하고 거두어들이는 모양에. 기가 강하고 만물을 결실하게 하여 거두어들이는 역할(검.경찰. 전문기술. 군인. 의약 등) 에서 직업과 천성을 이루고 살게 됩니다.  기술. 재치. 재능을 필요로 하는 직업을 많이 가지며. 통제나 억제 당하는 것을 싫어하며 자기 마음대로 하기를 좋아합니다. 겉으로는 매우 강한 것처럼 보이지만. 안으로는 기운이 강하지 못한 편입니다. 매사에 민첩하고 자신의 이익을 위하여 눈치와 기술을 사용하는 성품입니다. 이동 수단. 활동 수단 등이 쉽게 얻어지는 편이며 항상 지도자로서의 역할을 하기 좋아 합니다.  눈치. 기술 등을 발휘하여도 실질적인 성취는 기대 수준에 미치지 못하는 경우가 많습니다.,,,팔자에  갑. 인의 글자가 있으면. ,기술사업 인연이 쉽고. ,if (sj_ganji.includes('甲') || sj_ganji.includes('寅')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚戌,01a,,,,화가 있으면. ,마음대로 하는 벼슬(검.경찰. 특수기관. 특수직 공직) 인연이 쉽습니다.  ,if (nr_oh2>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚戌,02,대체로 모친인연이 강하고 부친인연이 약할 운에. 항상 모친의 간섭으로 인하여 고통이 따르든지 갈등. 불화가 올수 있습니다. 배우자 문제에 있어서도 모친의 적극적인 간섭을 의미하므로 결혼이 늦어 지거나 원치 않는 결혼이 될 수도 있습니다.  ,자식은 남자의 경우 대체로 아들이 많겠습니다.,자식은 여자는 아들이 적거나 드물겠습니다.,,,
庚戌,03,지지 편인은 눈치. 기술. 인내. 노력을 의미하므로 소년 학문길은 두뇌와 노력이 적절히 따르게 됩니다.  대체로 좋은 성적을 유지합니다.  눈치. 인내. 노력이 적절히 조화되어 있으므로 대체로 좋은 학교 운입니다. ,성공의 전공길 남자는 법학. 공학. 의학. 전문기술 등이 됩니다.  ,성공의 전공길 여자는 법학. 의.약학. 전문기술. 어학 등이 됩니다.  ,팔자에 수가 부족하고. 화가 많으면. ,매사 갈증을 동반하게 하므로 실력발휘가 잘 되지 않는 경우가 많습니다. ,if (nr_oh5<2 && nr_oh2>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚戌,03a,,,,여자의 경우 화가 약하고. 토가 많으면 ,다 학위 취득하고. 교수직. 연구직 등에 인연하여 봅니다,if (gendr === '여음' && nr_oh2<2 && nr_oh3>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚戌,04,눈치. 기술의 별로 일찍 연애를 꿈꾸지만 남녀 공히 순조롭지 못할 것을 의미합니다.  또한 모친의 간섭으로 결혼 하는 과정이 순조롭지 못하여 부모와 갈등이 오는 수도 있습니다. ,좋은 배필 인연으로 남자는 범띠. 토끼띠. 말띠. 양띠. 원숭이띠. 개띠. 돼지띠 여자가 좋은 인연입니다.  </br>결혼이후 남자의 경우 모친 동거하는 경우가 많고. 그로 인하여 고부 갈등이 올 수도 있습니다. ,좋은 배필 인연으로 여자는 범띠. 토끼띠. 용띠. 뱀띠. 말띠. 양띠. 개띠 남자가 좋은 인연입니다.  </br>결혼이후 여자의 경우는 남편의 병고. 사별 등으로 모친과 동거하여 사는 경우도 있을 수 있습니다 ,,,
庚戌,05,타고난 재능. 기술의 별로 인하여 자기 사업의 성향이 강한 가운데 조직 직장길. 사업길에서 골고루 직업을 보입니다. 조직 직장길의 경우 검.경찰. 기술조직. 연구직. 교수직. 군인 등이 많고. 사업길은 기술사업. 의.약업. 종교사업. 임대사업 등이 많습니다. 인내 노력이 따르더라도 그 성취가 적을 수도 있습니다,,,,,
庚戌,06,항상 누구의 통제나 간섭을 싫어하며. 매사를 자기중심으로 처리하기를 좋아합니다. 심하면 기고만장하여 자기 외에는 어떤 의견이나 방법도 용납하지 않으려 합니다. 그로 인하여 인간관계에 고통을 당하는 경우가 많습니다. 괴강(강한 기운)의 작용으로 살면서 납치. 감금. 유괴 등의 어려운 일을 만날 수도 있으니 주의하여야 하겠습니다,,,,,
庚戌,07,모습을 드러낸 금광 으로 괴강을 더하니 독존이자.  강맹한 심성으로 한번 결정하면 적극적으로 임해 기어이 성과를 내는 저력이 있습니다. 戌술. 천문 속에 신금과 정화가 배합되어 있으니 종교성인 동시에 공업성으로 기술 계통이나 활인 분야에서 활동하기 쉽습니다.  ,,여자는 가히 여걸로 남자들의 심리와 활용 면에서 일가견을 가집니다,한편 바위에 치인 개의 형상이 나타나면 (庚戌운),구설과 송사. 형액의 화를 당할 수 있으므로 조심해야 합니다.  남자는 자식. 여자는 남편의 신상에 화액이 닥쳐 과부가 되기도 합니다. ,if (ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚戌,08,47 庚戌 (辛9 丁3 戊18)</br>衰 금여(金與) 홍염살(紅艶殺) 괴강(魁강) 금여(金與) 철사관(鐵蛇關)</br></br>장간(藏干)의 丁火가 辛金을 단련(鍛鍊)하는 상은 활동력이 왕성하고. 바쁠수록 정신이 맑아지며. 천문(天門)의 영감(靈感)을 발휘함을 의미한다. 편인(偏印)의 직관력이 가세하면 역량이 증폭된다. 자존심에 상처를 입으면 몹시 분개하고 즉각 대응하는 기질이 있다. 庚戌은 庚戌과 丙辰은 공업성(工業星)으로 IT. 첨단 기술 산업. 특수 기술 분야로 진출하면 성공한다고 했다. 매장된 금광의 형상은 화기(火氣)를 보느냐가 관건이 된다.</br>괴강(魁강)으로 심성이 강맹(强猛)하며 부선망(父先亡)에 한번 결정하면 기어이 해내는 기질이 있다. 철쇄개금(鐵鎖開金)으로 본인이 아니면 배우자나 자손이 의약계로 진출하기 쉽고. 활인(活人)하고 적덕(積德)을 쌓아야만 배우자나 자신의 신체 이상을 면한다. 관고(官庫)의 라망(羅網)이니 자칫 철창에 갇힌 개의 물상(物象)이 되면 송사(訟事)를 겪고 형액(刑厄)을 당할 염려가 있다. 여명(女命)의 그 남편이 당하기 쉽다. 혹은 자손궁에 근심이 있을 수 있고. 종교(宗敎)와 인연을 맺음은 천문(天門)과 화개(華蓋)의 작용이다.,,곤명(坤命)은 여걸(女傑)이다. 두뇌가 우수하고. 재치도 뛰어난데 과부(寡婦)도 많다. 사회활동을 하게 되며 자만심이 강하고. 결백한 듯해도 내심은 음기(淫氣)가 있다. 교육. 의약계에 종사하는 이들이 많고 유흥업이나 화류계에도 인연이 있다. 남성의 세계와 심리는 남자보다 더 잘 알고 남자를 조종하는데 일가견이 있다. 관왕(官旺)한 구조라면 귀부인(貴婦人)이 되나 대개 배우자는 무능한 편이다. 착하고 순한 남편이 제격이다 ,,,
